cellline_id,drug_id,ic50_value,cancer_type_id
Ramos-2G6-4C10,Erlotinib,2.545627,3
RPMI-8866,Erlotinib,3.007462,3
QIMR-WIL,Erlotinib,2.176794,3
PSN1,Erlotinib,2.692044,2
CW-2,Erlotinib,3.094938,0
CMK,Erlotinib,2.719367,3
CHP-126,Erlotinib,3.070973,3
CGTH-W-1,Erlotinib,3.015268,3
COLO-320-HSR,Erlotinib,2.683868,0
ATN-1,Erlotinib,2.634345,3
CESS,Erlotinib,2.776724,3
COLO-684,Erlotinib,3.64169,3
COLO-668,Erlotinib,1.804919,1
A388,Erlotinib,-0.094267,3
C2BBe1,Erlotinib,1.729286,0
CA46,Erlotinib,3.076768,3
BL-41,Erlotinib,1.163577,3
BL-70,Erlotinib,1.227306,3
BV-173,Erlotinib,1.435513,3
RL,Erlotinib,3.14118,3
SNU-C1,Erlotinib,2.515859,0
ST486,Erlotinib,2.357707,3
UACC-812,Erlotinib,3.470147,1
SCC-15,Erlotinib,3.898851,3
BC-3,Erlotinib,2.787425,3
BC-1,Erlotinib,2.744229,3
A101D,Erlotinib,2.557837,3
SCC-3,Erlotinib,1.772821,3
AM-38,Erlotinib,3.510624,3
A4-Fuk,Erlotinib,2.772212,3
A3-KAW,Erlotinib,1.11025,3
NEC8,Erlotinib,2.501032,3
CAS-1,Erlotinib,3.586981,3
ALL-PO,Erlotinib,1.322118,3
OCI-AML2,Erlotinib,1.842314,3
MFM-223,Erlotinib,3.393174,1
LS-1034,Erlotinib,3.669254,0
HDLM-2,Erlotinib,2.803273,3
KGN,Erlotinib,2.287081,1
KNS-81-FD,Erlotinib,2.724459,3
K5,Erlotinib,3.133641,3
L-363,Erlotinib,2.812192,3
SW954,Erlotinib,1.396611,3
TE-441-T,Erlotinib,2.758826,3
MMAC-SF,Erlotinib,2.64093,3
NBsusSR,Erlotinib,1.443277,3
MFH-ino,Erlotinib,3.379476,3
NOS-1,Erlotinib,0.644691,3
RL95-2,Erlotinib,0.799783,3
TE-6,Erlotinib,0.176131,0
TE-12,Erlotinib,-2.616285,0
YT,Erlotinib,2.842845,3
BT-474,Erlotinib,3.106225,1
KP-N-YS,Erlotinib,3.484004,3
D-247MG,Erlotinib,2.24096,3
D-263MG,Erlotinib,2.935476,3
D-336MG,Erlotinib,3.253665,3
D-392MG,Erlotinib,2.291131,3
D-502MG,Erlotinib,0.655192,3
CTB-1,Erlotinib,2.485133,3
HAL-01,Erlotinib,2.323704,3
OMC-1,Erlotinib,3.573471,3
ES8,Erlotinib,2.511754,3
ES4,Erlotinib,1.135791,3
ES6,Erlotinib,1.028517,3
EW-3,Erlotinib,3.655555,3
EW-12,Erlotinib,5.244164,3
EW-1,Erlotinib,2.581376,3
EW-18,Erlotinib,3.445537,3
EW-16,Erlotinib,1.489525,3
EW-13,Erlotinib,3.667798,3
EW-24,Erlotinib,-0.809599,3
LAN-6,Erlotinib,3.738372,3
NB10,Erlotinib,0.140044,3
NB12,Erlotinib,3.883038,3
NB6,Erlotinib,2.623663,3
NB7,Erlotinib,3.463092,3
NB17,Erlotinib,0.652029,3
NB5,Erlotinib,1.044807,3
NB13,Erlotinib,1.325069,3
NB14,Erlotinib,3.142381,3
RH-1,Erlotinib,2.657416,3
MZ2-MEL,Erlotinib,3.6846,3
ES-2,Erlotinib,2.632372,1
MDST8,Erlotinib,3.323416,0
NB(TU)1-10,Erlotinib,2.836213,3
NCI-H1836,Erlotinib,2.717111,1
NCI-H1869,Erlotinib,0.508283,1
NCI-H211,Erlotinib,3.213593,1
NCI-H847,Erlotinib,2.29455,1
TC-71,Erlotinib,2.704578,3
SUP-B15,Erlotinib,2.975154,3
OCI-AML3,Erlotinib,2.821117,3
CL-11,Erlotinib,3.886257,0
ALL-SIL,Erlotinib,1.738326,3
AMO-1,Erlotinib,2.784917,3
COR-L95,Erlotinib,3.92409,1
DND-41,Erlotinib,2.838543,3
EJM,Erlotinib,2.603159,3
Farage,Erlotinib,2.341837,3
NCI-H2135,Erlotinib,3.425586,1
VCaP,Erlotinib,3.338584,1
GA-10,Erlotinib,-1.223787,3
GRANTA-519,Erlotinib,3.086397,3
HCC-33,Erlotinib,3.392408,1
Hs-445,Erlotinib,1.781985,3
HSC-39,Erlotinib,2.855382,0
JJN-3,Erlotinib,2.42301,3
JM1,Erlotinib,2.154091,3
JSC-1,Erlotinib,2.432935,3
JURL-MK1,Erlotinib,2.42115,3
KARPAS-231,Erlotinib,1.614701,3
KCL-22,Erlotinib,2.278081,3
KOPN-8,Erlotinib,2.112241,3
L-1236,Erlotinib,2.640045,3
ME-1,Erlotinib,3.663477,3
MOLM-13,Erlotinib,1.144296,3
MOLP-8,Erlotinib,3.082648,3
MY-M12,Erlotinib,2.434416,3
NCI-H1876,Erlotinib,2.661822,1
NK-92MI,Erlotinib,2.175751,3
NU-DUL-1,Erlotinib,2.53837,3
OCI-AML5,Erlotinib,2.370444,3
OCI-LY-19,Erlotinib,1.348077,3
OCI-M1,Erlotinib,2.349529,3
P32-ISH,Erlotinib,1.299434,3
PL-21,Erlotinib,3.646735,3
RC-K8,Erlotinib,3.092493,3
ROS-50,Erlotinib,4.132011,3
SLVL,Erlotinib,2.885815,3
SU-DHL-16,Erlotinib,1.94816,3
SU-DHL-4,Erlotinib,-0.209545,3
SU-DHL-6,Erlotinib,1.118448,3
SU-DHL-8,Erlotinib,1.59678,-1
SUP-HD1,Erlotinib,2.9689,3
SUP-M2,Erlotinib,1.950357,3
TK,Erlotinib,2.3093,3
VAL,Erlotinib,2.519909,3
WIL2-NS,Erlotinib,2.071504,3
WSU-DLCL2,Erlotinib,2.724636,3
MC-CAR,Rapamycin,-0.605979,3
ES3,Rapamycin,0.121827,3
ES5,Rapamycin,0.610943,3
ES7,Rapamycin,0.008208,3
EW-11,Rapamycin,-2.127281,3
SK-ES-1,Rapamycin,-2.259656,3
NCI-H1395,Rapamycin,-1.376408,1
COLO-829,Rapamycin,1.355791,3
8-MG-BA,Rapamycin,-2.191401,3
U-87-MG,Rapamycin,-1.970273,3
NCI-H720,Rapamycin,-4.063126,1
NCI-H1648,Rapamycin,-2.493356,1
NCI-H1770,Rapamycin,0.056542,1
NCI-H1838,Rapamycin,-0.12097,1
DMS-114,Rapamycin,-3.359071,1
NCI-H1092,Rapamycin,-0.367784,1
NCI-H1417,Rapamycin,-0.784432,1
NCI-H1694,Rapamycin,-1.375566,1
NCI-H187,Rapamycin,-1.495569,1
NCI-H1963,Rapamycin,-2.013472,1
NCI-H209,Rapamycin,-3.266989,1
NCI-H2141,Rapamycin,-0.733587,1
NCI-H2171,Rapamycin,-1.459473,1
NCI-H345,Rapamycin,0.107091,1
NCI-H446,Rapamycin,-0.584385,1
NCI-H526,Rapamycin,-2.557455,1
NCI-H64,Rapamycin,-1.351316,1
NCI-H69,Rapamycin,-1.422961,1
NCI-H82,Rapamycin,-0.476344,1
SK-N-DZ,Rapamycin,-0.043018,3
SK-N-FI,Rapamycin,-0.850232,3
VA-ES-BJ,Rapamycin,-6.91189,3
LU-139,Rapamycin,-2.789938,1
SBC-1,Rapamycin,-3.227376,1
NCI-H1299,Rapamycin,-0.342348,1
Calu-6,Rapamycin,0.662395,1
LU-65,Rapamycin,-0.294707,1
NCI-H1355,Rapamycin,-8.003215,1
SHP-77,Rapamycin,-0.347129,1
TE-5,Rapamycin,-2.502137,0
HCC1187,Rapamycin,-2.559287,1
HCC1599,Rapamycin,-3.430908,1
HCC2157,Rapamycin,-2.051004,1
HCC2218,Rapamycin,-0.285533,1
BB30-HNC,Rapamycin,-2.944746,3
BB49-HNC,Rapamycin,-0.732749,3
CP66-MEL,Rapamycin,0.423457,3
CPC-N,Rapamycin,-1.087804,1
CTV-1,Rapamycin,-2.421029,3
DMS-79,Rapamycin,-1.442012,1
DSH1,Rapamycin,-2.058139,3
EC-GI-10,Rapamycin,0.414942,0
HCE-4,Rapamycin,-2.208344,0
IM-9,Rapamycin,-0.432545,3
IST-SL1,Rapamycin,-1.785467,1
IST-SL2,Rapamycin,-3.835732,1
LB1047-RCC,Rapamycin,-4.928978,2
LB2241-RCC,Rapamycin,-0.103637,2
LB2518-MEL,Rapamycin,0.533248,3
LB373-MEL-D,Rapamycin,-0.997798,3
LB647-SCLC,Rapamycin,-2.5254,1
LB771-HNC,Rapamycin,-1.498015,3
LB831-BLC,Rapamycin,0.387254,3
LU-134-A,Rapamycin,-0.433655,1
LU-165,Rapamycin,-0.228398,1
LXF-289,Rapamycin,-1.94186,1
MS-1,Rapamycin,-0.335748,1
MZ1-PC,Rapamycin,-1.015944,2
MZ7-mel,Rapamycin,-1.708894,3
NCI-H128,Rapamycin,0.04992,1
NCI-H1304,Rapamycin,-3.034762,1
NCI-H510A,Rapamycin,-1.641673,1
SK-MM-2,Rapamycin,-1.406968,3
TE-15,Rapamycin,-6.266824,0
BE2-M17,Rapamycin,-1.217477,3
KELLY,Rapamycin,-1.500282,3
SIMA,Rapamycin,0.632559,3
TE-1,Rapamycin,-2.435982,0
HL-60,Rapamycin,-1.918234,3
K-562,Rapamycin,-1.331847,3
NCI-H226,Rapamycin,0.210653,1
NCI-H23,Rapamycin,0.265189,1
A498,Rapamycin,1.459481,2
CCRF-CEM,Rapamycin,-5.232694,3
SK-MEL-2,Rapamycin,-0.778356,3
MOLT-4,Rapamycin,-2.857789,3
RPMI-8226,Rapamycin,-6.316166,3
SR,Rapamycin,-4.795688,3
NCI-H322M,Rapamycin,-1.581155,1
EKVX,Rapamycin,-2.805367,1
LOXIMVI,Rapamycin,-1.303139,3
UACC-257,Rapamycin,0.220225,3
TK10,Rapamycin,-2.318836,2
SF539,Rapamycin,-7.718527,3
SF268,Rapamycin,-1.872958,3
KM12,Rapamycin,-0.550287,0
OVCAR-4,Rapamycin,-3.753186,1
Becker,Rapamycin,-4.055235,3
BE-13,Rapamycin,-6.114913,3
ARH-77,Rapamycin,-3.435789,3
A253,Rapamycin,0.246391,3
COR-L88,Rapamycin,0.941585,1
COLO-824,Rapamycin,-1.413833,1
COLO-800,Rapamycin,-2.413446,3
Daudi,Rapamycin,-6.780544,3
DB,Rapamycin,-2.790217,3
D-283MED,Rapamycin,-1.345117,3
DEL,Rapamycin,-4.749085,3
DG-75,Rapamycin,-1.458034,3
DJM-1,Rapamycin,-0.262032,3
DU-4475,Rapamycin,-2.989644,1
EB2,Rapamycin,-1.118633,3
EB-3,Rapamycin,-3.887598,3
EHEB,Rapamycin,-3.093643,3
ETK-1,Rapamycin,-8.368103,3
EVSA-T,Rapamycin,-2.761356,1
GCIY,Rapamycin,-3.583595,0
GDM-1,Rapamycin,-3.131357,3
GI-ME-N,Rapamycin,-0.63147,3
GOTO,Rapamycin,-1.218771,3
HC-1,Rapamycin,-2.986252,3
HD-MY-Z,Rapamycin,-2.389662,3
HEL,Rapamycin,-3.659248,3
HH,Rapamycin,-4.778294,3
HT,Rapamycin,-3.3791,3
IMR-5,Rapamycin,-0.218356,3
IST-MES1,Rapamycin,0.084069,3
JAR,Rapamycin,-1.709219,3
JiyoyeP-2003,Rapamycin,-4.983852,3
JVM-2,Rapamycin,-1.711378,3
JVM-3,Rapamycin,0.371735,3
KALS-1,Rapamycin,-5.578785,3
KARPAS-45,Rapamycin,-2.297962,3
KARPAS-299,Rapamycin,-3.013786,3
KARPAS-422,Rapamycin,-3.670349,3
KASUMI-1,Rapamycin,-0.743188,3
KE-37,Rapamycin,-4.655926,3
KG-1,Rapamycin,-1.660275,3
KINGS-1,Rapamycin,-4.174534,3
KMOE-2,Rapamycin,-0.766643,3
KMS-12-BM,Rapamycin,-2.175977,3
KNS-42,Rapamycin,-3.230034,3
H-EMC-SS,Rapamycin,-1.879688,3
KY821,Rapamycin,-0.294374,3
KU812,Rapamycin,-5.782729,3
KS-1,Rapamycin,-7.186578,3
KP-N-YN,Rapamycin,-0.828889,3
L-428,Rapamycin,-2.77268,3
L-540,Rapamycin,-2.575283,3
LAMA-84,Rapamycin,-2.57288,3
LC-2-ad,Rapamycin,-7.40262,1
LC4-1,Rapamycin,-3.880188,3
LNCaP-Clone-FGC,Rapamycin,-2.005969,1
LOUCY,Rapamycin,-2.231721,3
LP-1,Rapamycin,-2.230633,3
LS-123,Rapamycin,-2.535488,0
LS-513,Rapamycin,-0.117743,0
MC116,Rapamycin,-7.009656,3
MEG-01,Rapamycin,-2.599965,3
MHH-NB-11,Rapamycin,0.552839,3
MHH-PREB-1,Rapamycin,-3.972056,3
ML-2,Rapamycin,-1.970859,3
MLMA,Rapamycin,-3.377301,3
MN-60,Rapamycin,-2.861798,3
MONO-MAC-6,Rapamycin,-2.351482,3
Mo-T,Rapamycin,0.451141,3
MPP-89,Rapamycin,0.815453,3
MRK-nu-1,Rapamycin,-8.176968,1
MSTO-211H,Rapamycin,-1.576205,3
MV-4-11,Rapamycin,-2.984983,3
NALM-6,Rapamycin,-2.07276,3
NAMALWA,Rapamycin,-3.571299,3
NB69,Rapamycin,-2.084428,3
NCI-SNU-1,Rapamycin,-1.731743,0
NCI-SNU-5,Rapamycin,-0.724706,0
NCI-SNU-16,Rapamycin,-1.438604,0
NH-12,Rapamycin,-0.236763,3
NKM-1,Rapamycin,-1.805185,3
no-11,Rapamycin,-4.617302,3
NOMO-1,Rapamycin,-2.417117,3
NCI-H747,Rapamycin,-2.426398,0
NCI-H716,Rapamycin,-1.117157,0
NCI-H1155,Rapamycin,-1.513952,1
NCI-H1436,Rapamycin,-0.507359,1
NCI-H1581,Rapamycin,-2.12788,1
NCI-H1666,Rapamycin,-0.679751,1
NCI-H2081,Rapamycin,-0.73004,1
NCI-H2196,Rapamycin,-1.791712,1
NCI-H524,Rapamycin,-2.013656,1
NCI-H748,Rapamycin,-1.256642,1
ONS-76,Rapamycin,-0.931826,3
OPM-2,Rapamycin,-5.598784,3
P30-OHK,Rapamycin,-0.815661,3
P31-FUJ,Rapamycin,-0.526138,3
OCUB-M,Rapamycin,-8.75518,1
PF-382,Rapamycin,-3.418371,3
Raji,Rapamycin,-2.982169,3
REH,Rapamycin,-0.631233,3
RF-48,Rapamycin,-3.42542,0
RPMI-6666,Rapamycin,-4.074533,3
RPMI-8402,Rapamycin,-4.087974,3
RS4-11,Rapamycin,-0.88432,3
SH-4,Rapamycin,-5.737501,3
SIG-M5,Rapamycin,-4.029624,3
SJSA-1,Rapamycin,-3.244028,3
SK-LMS-1,Rapamycin,-6.016095,3
SKM-1,Rapamycin,-0.368183,3
SK-MEL-1,Rapamycin,-0.895382,3
SK-NEP-1,Rapamycin,-4.641432,2
SK-PN-DW,Rapamycin,-4.379469,3
SNU-C2B,Rapamycin,0.249468,0
SU-DHL-1,Rapamycin,-1.577281,3
SUP-T1,Rapamycin,-0.009179,3
SW684,Rapamycin,-0.075483,3
SW872,Rapamycin,-7.290914,3
SW962,Rapamycin,-2.553889,3
TALL-1,Rapamycin,-0.933163,3
TGBC1TKB,Rapamycin,-8.796606,3
THP-1,Rapamycin,-0.32072,3
TUR,Rapamycin,-1.2649,3
U-698-M,Rapamycin,-0.836452,3
WSU-NHL,Rapamycin,-1.129853,3
KURAMOCHI,Rapamycin,-3.168738,1
KM-H2,Rapamycin,-2.599035,3
Ramos-2G6-4C10,Rapamycin,-6.232525,3
RPMI-8866,Rapamycin,0.01173,3
QIMR-WIL,Rapamycin,-5.375499,3
CW-2,Rapamycin,-0.564121,0
CMK,Rapamycin,-3.04215,3
CHP-126,Rapamycin,-0.426695,3
CGTH-W-1,Rapamycin,-1.601128,3
COLO-320-HSR,Rapamycin,-2.151021,0
ATN-1,Rapamycin,-2.473851,3
CESS,Rapamycin,-4.519923,3
COLO-684,Rapamycin,-3.344889,3
COLO-668,Rapamycin,-2.316589,1
TGBC24TKB,Rapamycin,-5.426318,3
C2BBe1,Rapamycin,-3.011476,0
CA46,Rapamycin,-0.45299,3
BV-173,Rapamycin,-3.10602,3
TGW,Rapamycin,-1.104055,3
RL,Rapamycin,0.104291,3
SNU-C1,Rapamycin,-4.743869,0
ST486,Rapamycin,-2.467064,3
UACC-812,Rapamycin,-2.087723,1
SCC-15,Rapamycin,0.98942,3
BC-3,Rapamycin,-3.189367,3
BC-1,Rapamycin,-3.610734,3
A704,Rapamycin,-1.85089,2
SCC-3,Rapamycin,-2.204324,3
GAK,Rapamycin,-2.253295,3
AM-38,Rapamycin,-1.544391,3
A4-Fuk,Rapamycin,-4.608382,3
A3-KAW,Rapamycin,-5.952167,3
COR-L279,Rapamycin,-3.441706,1
NEC8,Rapamycin,-0.542907,3
CAS-1,Rapamycin,-0.283669,3
ALL-PO,Rapamycin,-1.744344,3
OCI-AML2,Rapamycin,-1.569692,3
MFM-223,Rapamycin,0.397441,1
LS-1034,Rapamycin,-2.164389,0
CAL-148,Rapamycin,-1.526536,1
HDLM-2,Rapamycin,-2.163931,3
KLE,Rapamycin,-2.722124,3
KNS-81-FD,Rapamycin,-2.420116,3
KP-N-RT-BM-1,Rapamycin,-1.497244,3
K5,Rapamycin,-3.332137,3
L-363,Rapamycin,-3.398629,3
NCI-H1975,Rapamycin,-2.960826,1
SW954,Rapamycin,-1.806624,3
TE-441-T,Rapamycin,-1.227748,3
MMAC-SF,Rapamycin,-1.919026,3
NBsusSR,Rapamycin,-2.655765,3
NOS-1,Rapamycin,-8.124836,3
RL95-2,Rapamycin,-7.641829,3
TE-9,Rapamycin,-0.101304,0
TE-6,Rapamycin,-5.790315,0
TE-12,Rapamycin,-3.159948,0
TC-YIK,Rapamycin,-1.057836,3
YT,Rapamycin,-0.33182,3
BT-474,Rapamycin,-1.498546,1
KP-N-YS,Rapamycin,0.558945,3
D-247MG,Rapamycin,1.070418,3
D-263MG,Rapamycin,-0.011298,3
D-336MG,Rapamycin,0.663421,3
D-502MG,Rapamycin,0.344958,3
CTB-1,Rapamycin,-2.217641,3
HAL-01,Rapamycin,-2.532991,3
OMC-1,Rapamycin,-1.54867,3
ES8,Rapamycin,-2.416155,3
ES4,Rapamycin,-7.854077,3
ES1,Rapamycin,-1.770748,3
EW-3,Rapamycin,-1.376278,3
EW-12,Rapamycin,-3.166829,3
EW-1,Rapamycin,-5.978091,3
EW-18,Rapamycin,-1.498214,3
EW-13,Rapamycin,-0.463234,3
EW-22,Rapamycin,-1.16655,3
